
═══════════════════════════════════════════════════════════════════════════
 2-YEAR CEO SIMULATION — 730 cycles with memory agent
═══════════════════════════════════════════════════════════════════════════

 tau=30, durability=10, promote>0.6, forget<0.05
 Long-term effective tau = 300 cycles (~10 months)
 Events generated from probability distributions, not scripted
 Memory agent decides what to record from CEO's daily activity

 Cycle 100/730 | startup  | rev=  $7,057 | 9S 2L | events=63 recorded=30 | promotions=2
 Cycle 200/730 | growth   | rev=  $9,199 | 5S 7L | events=138 recorded=71 | promotions=9
 Cycle 300/730 | growth   | rev= $20,740 | 5S 10L | events=193 recorded=99 | promotions=14
 Cycle 400/730 | growth   | rev= $61,888 | 6S 16L | events=282 recorded=157 | promotions=25
 Cycle 500/730 | growth   | rev= $94,823 | 9S 10L | events=351 recorded=185 | promotions=27
 Cycle 600/730 | growth   | rev=$155,939 | 10S 14L | events=445 recorded=246 | promotions=37
 Cycle 700/730 | scaling  | rev=$205,297 | 6S 15L | events=544 recorded=313 | promotions=47
 Cycle 730/730 | scaling  | rev=$225,827 | 8S 10L | events=576 recorded=341 | promotions=52

═══════════════════════════════════════════════════════════════════════════
 TABLE 1: MEMORY CUBE SIZES OVER 2 YEARS
═══════════════════════════════════════════════════════════════════════════

 Cycle | Month | Phase    | Revenue  | Short | Long  | Events | Recorded
 ------+-------+----------+----------+-------+-------+--------+---------
    30 |     1 | startup  |   $1,900 |     4 |     0 |     17 |        6
    60 |     2 | startup  |   $3,201 |     9 |     2 |     43 |       20
    90 |     3 | startup  |   $7,057 |     8 |     2 |     60 |       28
   120 |     4 | growth   |   $7,269 |     9 |     2 |     76 |       37
   150 |     5 | growth   |   $8,141 |     8 |     3 |     93 |       44
   180 |     6 | growth   |   $9,199 |    10 |     8 |    130 |       66
   210 |     7 | growth   |  $10,303 |     5 |     8 |    147 |       75
   240 |     8 | growth   |  $16,685 |     7 |     8 |    164 |       85
   270 |     9 | growth   |  $18,354 |     6 |     9 |    180 |       90
   300 |    10 | growth   |  $20,740 |     5 |    10 |    193 |       99
   330 |    11 | growth   |  $33,143 |     7 |    10 |    215 |      112
   360 |    12 | growth   |  $41,182 |     9 |    11 |    241 |      127
   390 |    13 | growth   |  $54,888 |     7 |    15 |    269 |      147
   420 |    14 | growth   |  $69,315 |     4 |    12 |    297 |      160
   450 |    15 | growth   |  $83,178 |     6 |    12 |    311 |      165
   480 |    16 | growth   |  $94,823 |     9 |    12 |    336 |      175
   510 |    17 | growth   | $108,098 |     6 |    10 |    359 |      188
   540 |    18 | growth   | $121,070 |     8 |    13 |    382 |      202
   570 |    19 | growth   | $139,231 |    11 |    18 |    418 |      227
   600 |    20 | growth   | $155,939 |    10 |    14 |    445 |      246
   630 |    21 | growth   | $168,414 |    10 |    14 |    474 |      265
   660 |    22 | growth   | $193,676 |     8 |    14 |    497 |      278
   690 |    23 | scaling  | $205,297 |     7 |    13 |    528 |      302
   720 |    24 | scaling  | $225,827 |     8 |    10 |    566 |      332

═══════════════════════════════════════════════════════════════════════════
 TABLE 2: ALL PROMOTIONS (52 total)
═══════════════════════════════════════════════════════════════════════════

 Cycle | Original → Precis
 ------+--------------------------------------------------------------
    43 | "New customer acquired, total active customers: 4"
       |   → "A new customer has been acquired, bringing the total..."
    45 | "Marketplace Corp declared bankruptcy, $1,691 written..."
       |   → "Marketplace Corp's bankruptcy indicates significant ..."
   134 | "New customer acquired, total active customers: 8"
       |   → "Acquisition of a new customer increases total active..."
   153 | "Ongoing: Key competitor launched aggressive pricing ..."
       |   → "A key competitor has launched an aggressive pricing ..."
   159 | "Ongoing: Key competitor launched aggressive pricing ..."
       |   → "Key competitor launched an aggressive pricing campai..."
   163 | "Ongoing: Key competitor launched aggressive pricing ..."
       |   → "A key competitor has launched an aggressive pricing ..."
   165 | "Ongoing: Key competitor launched aggressive pricing ..."
       |   → "Key competitor launched aggressive pricing campaign,..."
   167 | "Ongoing: Key competitor launched aggressive pricing ..."
       |   → "Key competitor launched an aggressive pricing campai..."
   191 | "New customer acquired, total active customers: 10"
       |   → "A new customer acquisition has increased the total a..."
   205 | "New customer acquired, total active customers: 15"
       |   → "Acquisition of a new customer increases total active..."
   222 | "New customer acquired, total active customers: 19"
       |   → "Acquisition of a new customer increases total active..."
   267 | "CRISIS: Server outage affecting all customers (estim..."
       |   → "A server outage has occurred, impacting all customer..."
   290 | "New customer acquired, total active customers: 25"
       |   → "Acquisition of a new customer increases total active..."
   298 | "New customer acquired, total active customers: 29"
       |   → "A new customer has been acquired, increasing the tot..."
   337 | "New customer acquired, total active customers: 33"
       |   → "Acquisition of a new customer increases total active..."
   354 | "Ongoing: Key competitor launched aggressive pricing ..."
       |   → "A key competitor has launched an aggressive pricing ..."
   370 | "Ongoing: Key competitor launched aggressive pricing ..."
       |   → "Key competitor launched an aggressive pricing campai..."
   374 | "Ongoing: Key competitor launched aggressive pricing ..."
       |   → "A key competitor has launched an aggressive pricing ..."
   375 | "New customer acquired, total active customers: 38"
       |   → "A new customer has been acquired, bringing the total..."
   379 | "Ongoing: Key competitor launched aggressive pricing ..."
       |   → "A key competitor has launched an aggressive pricing ..."
   384 | "Ongoing: Key competitor launched aggressive pricing ..."
       |   → "Key competitor launched an aggressive pricing campai..."
   388 | "Ongoing: Key competitor launched aggressive pricing ..."
       |   → "Key competitor launched an aggressive pricing campai..."
   392 | "Ongoing: Key competitor launched aggressive pricing ..."
       |   → "Key competitor launched an aggressive pricing campai..."
   395 | "Ongoing: Key competitor launched aggressive pricing ..."
       |   → "Key competitor launched an aggressive pricing campai..."
   400 | "New customer acquired, total active customers: 47"
       |   → "Acquisition of a new customer increases total active..."
   438 | "New customer acquired, total active customers: 53"
       |   → "A new customer has been acquired, bringing the total..."
   497 | "New customer acquired, total active customers: 55"
       |   → "Acquisition of a new customer increases total active..."
   511 | "CRISIS: Server outage affecting all customers (estim..."
       |   → "A server outage has impacted all customers, with an ..."
   512 | "New customer acquired, total active customers: 60"
       |   → "Acquisition of a new customer increases total active..."
   538 | "New customer acquired, total active customers: 64"
       |   → "Acquisition of a new customer increases total active..."
   551 | "New customer acquired, total active customers: 69"
       |   → "A new customer has been acquired, bringing the total..."
   560 | "Ongoing: Key competitor launched aggressive pricing ..."
